in/out/ambiguous,start_human,start_llm,end_human,end_llm,Transcript,story_seg_human,story_seg_llm,intersection,union
out,FALSE,FALSE,FALSE,FALSE,KRIS: Well let's kind of figure out a cla:ssic u:m ʔuh: diet uh quota ʔuh ʔuh for % laugh you % laugh.,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,KRIS: And let me get a piece of paper so that we can write that down.,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,ENV: .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,PAIG: .,FALSE,FALSE,FALSE,FALSE
in,TRUE,TRUE,FALSE,FALSE,KRIS: The way we do: this.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Yeah.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: is first of all we make a a guesstimate of how many calories typically that you would need.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: D- we- we didn't do this last time did we.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: m:.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: Okay.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: Alright.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,TRUE,KRIS: Yeah I think we were gonna wait until we cause you were gonna change some things maybe after you saw Doris.,TRUE,TRUE,TRUE,TRUE
in,FALSE,TRUE,FALSE,FALSE,KRIS: So first of all we make a good guesstimate.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: Of how many calories you need.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: And that's always a tough one.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: Um⌈:.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Mhm:.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,TRUE,KRIS: m:⌉ost women unless you work out a l:o:t.,TRUE,TRUE,TRUE,TRUE
in,FALSE,TRUE,FALSE,FALSE,KRIS: You probably aren't burning much more than like eighteen hundred to maybe: two thousand calories.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Mhm.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,TRUE,FALSE,KRIS: So what we can do um I would say I'm gonna go ahead and make it out about eighteen hundred.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: Just because uh you're at a good weight you're about five fi:ve u:m ʔI think that would be a prudent place to to start out from.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: I know I won't uh cause you to gain weight and you probably won't lose any either.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: ⌈ But uh.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: ⌋ Okay.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: So we're gonna take eighteen hundred calories:.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Uh h,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: How um how many calories do you think I'm eating now or can you even tell: that.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: from looking?,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: I could do a calorie count um on that but I'd actually need more amounts:.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Although you wouldn't be able to tell because there's no ʔuh I don't write down like the fa:ts and things like that.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: Well if if you gave me real specific amounts.,FALSE,TRUE,FALSE,TRUE
in,TRUE,FALSE,FALSE,FALSE,KRIS: Like I had you know one quarter cup of soy milk half a cup of cereal.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Yeah:.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: th⌈en I could,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: ⌊ Oh okay,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: I could cou:nt your cal⌉ories.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: I see.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: ⌋.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: and and figure that out.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: And run it through the computer.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: And get a printout.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Mm:.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: .,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Hm:.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: O:f your nutrient ratio: and everything.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Wow.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: For the day.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: In fact if you wanna do that I'd be glad to run it for you But you'd have to take one day.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Mhm⌈:.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: ⌊ And re:ally:.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,PAIG: And write everything down.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Yeah.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: be:.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: ⌉.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,TRUE,FALSE,KRIS: like ⌋ precise.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Okay.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: U:m okay.,FALSE,TRUE,FALSE,TRUE
in,TRUE,FALSE,FALSE,FALSE,KRIS: So eighteen hundred calories ti:mes point four that's gonna be f:orty calories or excuse me.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: Um forty % laugh percent of your calories coming from carbo hydrate.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: And that's Doris's standard protocol really.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Mm.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: Okay times point four gives us seven hundred and twenty carbo:hydrate calories.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Yeah.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: Then we divide that by four.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: .,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: Calories per gram.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: You've,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: .,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: I know you've seen this before.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: Which gives us a quota of a hundred and eighty gra:ms of carbohydrate per day.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,KRIS: Actually I should've done that.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Mm.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: Okay.,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,TRUE,FALSE,KRIS: Then we have to distribute it.,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Wow:.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: That's % laugh lo:w.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: ⌈.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: Yeah.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: That's not ⌉ that much⌈:.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: ⌊ It is.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: ⌉.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: Then we have to ⌋ distribute that into a an ideal ratio.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: Now you always do have breakfast.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: Really.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: Unless you're running a bit on the higher side.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: ⌊ Really high.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Yeah ⌋.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,KRIS: And you always have some kinda lunch pretty much and you always have some kind of dinner.,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,PAIG: Well yeah.,FALSE,TRUE,FALSE,TRUE
