in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,CHI: there the house is all done .
out,FALSE,FALSE,CHI: now we can turn it around .
out,FALSE,FALSE,LIN: no .
out,FALSE,FALSE,LIN: from the roof xxx .
out,FALSE,FALSE,CHI: it'll fall out .
out,FALSE,FALSE,LIN: this one xxx .
out,FALSE,FALSE,CHI: careful !
out,FALSE,FALSE,LIN: 0 [=! giggles] .
out,FALSE,FALSE,LIN: xxx do this .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,LIN: xxx .
out,FALSE,FALSE,LIN: xxx play with playdough now ?
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,CHI: how_about we play with the blocks ?
out,FALSE,FALSE,LIN: no .
out,FALSE,FALSE,LIN: xxx .
out,FALSE,FALSE,CHI: xxx [>] .
out,FALSE,FALSE,LIN: <playin(g)> [<] with playdough .
out,FALSE,FALSE,LIN: play with the green .
out,FALSE,FALSE,CHI: Lindsay I can't wait until (.) two weeks .
out,FALSE,FALSE,LIN: why ?
in,TRUE,FALSE,CHI: I go to the dentist .
in,FALSE,FALSE,LIN: <to(day)> [//] after school I have go to the dentist .
in,FALSE,FALSE,CHI: I hafta go in two weeks .
in,FALSE,TRUE,CHI: then after (.) <I get> [/] I get a pogo ball .
out,FALSE,FALSE,LIN: yeah ?
in,TRUE,FALSE,CHI: cause after I get a pogo ball .
out,FALSE,FALSE,CHI: it's weird .
out,FALSE,FALSE,LIN: I know .
in,FALSE,TRUE,CHI: cause I hafta get three teeth pulled out .
out,FALSE,FALSE,LIN: do you ?
out,FALSE,FALSE,CHI: yes .
out,FALSE,FALSE,LIN: why [>] ?
in,TRUE,FALSE,CHI: <see these> [<] two top ones and this bottom one .
out,FALSE,FALSE,LIN: why ?
in,FALSE,FALSE,CHI: they're loose .
in,FALSE,FALSE,LIN: <xxx fall> [//] they'll fall out .
out,FALSE,FALSE,CHI: no .
in,FALSE,TRUE,CHI: like [/] <like I> [//] I like goin(g) to the dentist to get them out (.) instead [>] .
out,FALSE,FALSE,LIN: why [<] ?
out,FALSE,FALSE,LIN: why ?
in,TRUE,FALSE,CHI: so I can get my pogo ball faster .
out,FALSE,FALSE,LIN: cut my cookies .
out,FALSE,FALSE,CHI: oops that looks weird .
out,FALSE,FALSE,LIN: what ?
out,FALSE,FALSE,CHI: my hand .
out,FALSE,FALSE,CHI: I was tracing it again .
out,FALSE,FALSE,CHI: that looks weird too .
out,FALSE,FALSE,LIN: Terry ?
out,FALSE,FALSE,CHI: yes ?
out,FALSE,FALSE,LIN: do you like playing here ?
out,FALSE,FALSE,CHI: yes .
out,FALSE,FALSE,LIN: &~a:h !
in,FALSE,TRUE,LIN: got my hair caught right there .
out,FALSE,FALSE,CHI: &-uh huh .
out,FALSE,FALSE,LIN: what are you making Terry ?
out,FALSE,FALSE,CHI: I don't know .
out,FALSE,FALSE,LIN: xxx .
in,TRUE,FALSE,CHI: weird sort of cookies .
out,FALSE,FALSE,LIN: huh ?
in,FALSE,FALSE,CHI: weird sort of (.) baking or something .
out,FALSE,FALSE,LIN: you're baking ?
out,FALSE,FALSE,CHI: yeah .
in,FALSE,TRUE,CHI: don't you think it would be cool if you were baking and you were doing your own recipe ?
out,FALSE,FALSE,LIN: yeah .
in,TRUE,FALSE,CHI: probably turn out (.) gross .
out,FALSE,FALSE,LIN: yeah .
in,FALSE,TRUE,CHI: remember that rhyme I wrote for Valentines day like the kid &-um: (.) mixed up rice ?
in,TRUE,FALSE,LIN: oh (.) yeah .
in,FALSE,TRUE,CHI: it was weird and it taste yucky (.) gross .
out,FALSE,FALSE,LIN: we're going to be late .
out,FALSE,FALSE,LIN: don't you think ?
in,TRUE,FALSE,CHI: Lindsay <aren't you> [//] are you glad we &-um: (.) passed kindergarten and are in grade one ?
out,FALSE,FALSE,LIN: yeah .
out,FALSE,FALSE,CHI: I am .
out,FALSE,FALSE,CHI: I guess .
in,FALSE,FALSE,CHI: in grade one like you sort of get older and you get to stay up later at night cause <each night> [>] +/.
in,FALSE,TRUE,LIN: <I don't> [<] .
in,TRUE,FALSE,CHI: cause each night &-um: (.) I hafta actually go to bed at eight but it ends up at ten .
out,FALSE,FALSE,LIN: 0 .
out,FALSE,FALSE,CHI: Lindsay !
out,FALSE,FALSE,LIN: it's [= pink play+dough] mine .
out,FALSE,FALSE,CHI: looks silly .
out,FALSE,FALSE,CHI: drawing a person .
out,FALSE,FALSE,LIN: Terry .
out,FALSE,FALSE,CHI: yes ?
out,FALSE,FALSE,LIN: &=laughs .
out,FALSE,FALSE,CHI: what is that ?
out,FALSE,FALSE,LIN: <I don't> [/] I don't know .
out,FALSE,FALSE,CHI: silly .
out,FALSE,FALSE,LIN: xxx .
out,FALSE,FALSE,LIN: what are you making ?
out,FALSE,FALSE,CHI: Mickey Mouse .
out,FALSE,FALSE,LIN: it doesn't look like Mickey [//] Mickey Mouse (.) to me .
out,FALSE,FALSE,CHI: I know .
out,FALSE,FALSE,CHI: it doesn't have the sort of colors .
out,FALSE,FALSE,CHI: Lindsay I wonder when (.) we can &-um: (.) go back to our classroom ?
out,FALSE,FALSE,LIN: me too .
out,FALSE,FALSE,LIN: xxx .
out,FALSE,FALSE,CHI: yeah .
out,FALSE,FALSE,LIN: what's that ?
out,FALSE,FALSE,CHI: the eyeball .
out,FALSE,FALSE,LIN: here's one .
out,FALSE,FALSE,CHI: <&=laughs> [>] .
out,FALSE,FALSE,LIN: <&=laughs> [<] .
out,FALSE,FALSE,LIN: here's another one .
out,FALSE,FALSE,CHI: double eyeball .
out,FALSE,FALSE,LIN: hey that looks worse !
out,FALSE,FALSE,LIN: two eyeballs .
out,FALSE,FALSE,LIN: bla:h .
out,FALSE,FALSE,LIN: xxx .
out,FALSE,FALSE,LIN: what's that ?
out,FALSE,FALSE,CHI: the nose .
out,FALSE,FALSE,CHI: half of part of it .
out,FALSE,FALSE,CHI: <0 [=! giggles]> [>] .
out,FALSE,FALSE,LIN: <0 [=! giggles]> [<] .
out,FALSE,FALSE,CHI: or should I make all this the nose ?
out,FALSE,FALSE,CHI: 0 [=! grunts with effort] .
out,FALSE,FALSE,CHI: gosh .
out,FALSE,FALSE,LIN: what are you making ?
out,FALSE,FALSE,CHI: I don't know .
out,FALSE,FALSE,CHI: something weird .
out,FALSE,FALSE,LIN: whoa !
out,FALSE,FALSE,CHI: whoa !
out,FALSE,FALSE,CHI: there isn't any recipe .
out,FALSE,FALSE,CHI: neat video camera .
out,FALSE,FALSE,LIN: 0 .
out,FALSE,FALSE,CHI: 0 .
out,FALSE,FALSE,CHI: neat !
in,FALSE,TRUE,CHI: we'll be on the six o'clock news .
out,FALSE,FALSE,LIN: 0 [=! snickers] .
out,FALSE,FALSE,CHI: 0 [=! snickers] .
out,FALSE,FALSE,LIN: xxx [>] .
in,TRUE,FALSE,CHI: <I probably won't> [<] [//] I won't be at my house when it is on the six o'clock news .
in,FALSE,FALSE,CHI: I'll be at teeball .
out,FALSE,FALSE,LIN: there .
out,FALSE,FALSE,CHI: <&=laughs> [>] .
out,FALSE,FALSE,LIN: <&=laughs> [<] .
out,FALSE,FALSE,CHI: what is that (.) a lollipop ?
